id,user_id,order_date,status
1,1,2026-01-01,returned
2,3,2026-01-02,completed
3,9,2026-01-04,completed
4,5,2026-01-05,completed
5,6,2026-01-05,completed
6,14,2026-01-07,completed
7,8,2026-01-09,completed
8,2,2026-01-11,returned
9,13,2026-01-12,completed
10,7,2026-01-14,completed
11,19,2026-01-14,completed
12,15,2026-01-15,placed
13,4,2026-01-17,completed
14,10,2026-01-17,returned
15,20,2026-01-19,completed
16,18,2026-01-21,completed
17,11,2026-01-22,placed
18,1,2026-01-23,completed
19,12,2026-01-23,completed
20,16,2026-01-25,placed
