id,order_id,payment_method,amount
1,1,credit_card,1000
2,2,credit_card,2000
3,3,coupon,100
4,4,coupon,2500
5,5,bank_transfer,1700
6,6,credit_card,600
7,7,credit_card,1600
8,8,credit_card,2300
9,9,gift_card,2300
10,10,bank_transfer,2600
11,11,credit_card,2700
12,12,credit_card,100
13,13,credit_card,500
14,14,bank_transfer,1400
15,15,credit_card,1200
16,16,gift_card,800
17,17,bank_transfer,2600
18,18,credit_card,3000
19,19,coupon,1900
20,20,credit_card,2200
21,2,coupon,500
22,10,credit_card,900
23,13,gift_card,1500
